"code","name","level2_code","level2_name","level1_code","level1_name"
"NTA","Northern Territory",50,"Australia",5,"AUSTRALASIA"
"NUE","Niue",60,"Southwestern Pacific",6,"PACIFIC"
"NUN","Nunavut",70,"Subarctic America",7,"NORTHERN AMERICA"
"NWC","New Caledonia",60,"Southwestern Pacific",6,"PACIFIC"
"NWG","New Guinea",43,"Papuasia",4,"ASIA-TROPICAL"
"NWH","New Hampshire",75,"Northeastern U.S.A.",7,"NORTHERN AMERICA"
"NWJ","New Jersey",75,"Northeastern U.S.A.",7,"NORTHERN AMERICA"
"NWM","New Mexico",77,"South-Central U.S.A.",7,"NORTHERN AMERICA"
"NWT","Northwest Territories",70,"Subarctic America",7,"NORTHERN AMERICA"
"NWY","New York",75,"Northeastern U.S.A.",7,"NORTHERN AMERICA"
"NZN","New Zealand North",51,"New Zealand",5,"AUSTRALASIA"
"NZS","New Zealand South",51,"New Zealand",5,"AUSTRALASIA"
"OFS","Free State",27,"Southern Africa",2,"AFRICA"
"OGA","Ogasawara-shoto",38,"Eastern Asia",3,"ASIA-TEMPERATE"
"OHI","Ohio",75,"Northeastern U.S.A.",7,"NORTHERN AMERICA"
"OKL","Oklahoma",74,"North-Central U.S.A.",7,"NORTHERN AMERICA"
"OMA","Oman",35,"Arabian Peninsula",3,"ASIA-TEMPERATE"
"ONT","Ontario",72,"Eastern Canada",7,"NORTHERN AMERICA"
"ORE","Oregon",73,"Northwestern U.S.A.",7,"NORTHERN AMERICA"
"PAK","Pakistan",40,"Indian Subcontinent",4,"ASIA-TROPICAL"
"PAL","Palestine",34,"Western Asia",3,"ASIA-TEMPERATE"
"PAN","Panama",80,"Central America",8,"SOUTHERN AMERICA"
"PAR","Paraguay",85,"Southern South America",8,"SOUTHERN AMERICA"
"PEI","Prince Edward I.",72,"Eastern Canada",7,"NORTHERN AMERICA"
"PEN","Pennsylvania",75,"Northeastern U.S.A.",7,"NORTHERN AMERICA"
"PER","Peru",83,"Western South America",8,"SOUTHERN AMERICA"
"PHI","Philippines",42,"Malesia",4,"ASIA-TROPICAL"
"PHX","Phoenix Is.",60,"Southwestern Pacific",6,"PACIFIC"
"PIT","Pitcairn Is.",61,"South-Central Pacific",6,"PACIFIC"
"POL","Poland",11,"Middle Europe",1,"EUROPE"
"POR","Portugal",12,"Southwestern Europe",1,"EUROPE"
"PRM","Primorye",31,"Russian Far East",3,"ASIA-TEMPERATE"
"PUE","Puerto Rico",81,"Caribbean",8,"SOUTHERN AMERICA"
"QLD","Queensland",50,"Australia",5,"AUSTRALASIA"
"QUE","Québec",72,"Eastern Canada",7,"NORTHERN AMERICA"
"REU","Réunion",29,"Western Indian Ocean",2,"AFRICA"
"RHO","Rhode I.",75,"Northeastern U.S.A.",7,"NORTHERN AMERICA"
"ROD","Rodrigues",29,"Western Indian Ocean",2,"AFRICA"
"ROM","Romania",13,"Southeastern Europe",1,"EUROPE"
"RUC","Central European Russia",14,"Eastern Europe",1,"EUROPE"
"RUE","East European Russia",14,"Eastern Europe",1,"EUROPE"
"RUN","North European Russia",14,"Eastern Europe",1,"EUROPE"
"RUS","South European Russia",14,"Eastern Europe",1,"EUROPE"
"RUW","Northwest European Russia",14,"Eastern Europe",1,"EUROPE"
"RWA","Rwanda",23,"West-Central Tropical Africa",2,"AFRICA"
"SAK","Sakhalin",31,"Russian Far East",3,"ASIA-TEMPERATE"
"SAM","Samoa",60,"Southwestern Pacific",6,"PACIFIC"
"SAR","Sardegna",12,"Southwestern Europe",1,"EUROPE"
"SAS","Saskatchewan",71,"Western Canada",7,"NORTHERN AMERICA"
"SAU","Saudi Arabia",35,"Arabian Peninsula",3,"ASIA-TEMPERATE"
"SCA","South Carolina",78,"Southeastern U.S.A.",7,"NORTHERN AMERICA"
"SCI","Society Is.",61,"South-Central Pacific",6,"PACIFIC"
"SCS","South China Sea",41,"Indo-China",4,"ASIA-TROPICAL"
"SCZ","Santa Cruz Is.",60,"Southwestern Pacific",6,"PACIFIC"
"SDA","South Dakota",74,"North-Central U.S.A.",7,"NORTHERN AMERICA"
"SEL","Selvagens",21,"Macaronesia",2,"AFRICA"
"SEN","Senegal",22,"West Tropical Africa",2,"AFRICA"
"SEY","Seychelles",29,"Western Indian Ocean",2,"AFRICA"
"SGE","South Georgia",90,"Subantarctic Islands",9,"ANTARCTIC"
"SIC","Sicilia",13,"Southeastern Europe",1,"EUROPE"
"SIE","Sierra Leone",22,"West Tropical Africa",2,"AFRICA"
"SIN","Sinai",34,"Western Asia",3,"ASIA-TEMPERATE"
"SOA","South Australia",50,"Australia",5,"AUSTRALASIA"
"SOC","Socotra",24,"Northeast Tropical Africa",2,"AFRICA"
"SOL","Solomon Is.",43,"Papuasia",4,"ASIA-TROPICAL"
"SOM","Somalia",24,"Northeast Tropical Africa",2,"AFRICA"
"SPA","Spain",12,"Southwestern Europe",1,"EUROPE"
"SRL","Sri Lanka",40,"Indian Subcontinent",4,"ASIA-TROPICAL"
"SSA","South Sandwich Is.",90,"Subantarctic Islands",9,"ANTARCTIC"
"STH","St.Helena",28,"Middle Atlantic Ocean",2,"AFRICA"
"SUD","Sudan",24,"Northeast Tropical Africa",2,"AFRICA"
"SUL","Sulawesi",42,"Malesia",4,"ASIA-TROPICAL"
"SUM","Sumatera",42,"Malesia",4,"ASIA-TROPICAL"
"SUR","Surinam",82,"Northern South America",8,"SOUTHERN AMERICA"
